iter	RMSE
0	0.04894963597
1	0.04695804827
2	0.04508366595
3	0.04331486491
4	0.04164242625
5	0.04005984711
6	0.03858520586
7	0.03717796923
8	0.03587026263
9	0.0346387497
10	0.03349281894
11	0.03241900914
12	0.03140776712
13	0.03046361899
14	0.02958645773
15	0.02876750214
16	0.02800335772
17	0.02729069617
18	0.02662624042
19	0.02601058709
220	0.0254664988721	0.02490409935
222	0.0244416754323	0.02395301764
24	0.02353947994
25	0.02315263695
26	0.02279291898
27	0.02246630319
28	0.02216331945
29	0.02188201143
30	0.02162422305
31	0.02138913449
32	0.0211731178
33	0.02097385566
34	0.02078879649
35	0.02062114999
36	0.02046532574
37	0.02032303988
38	0.02019543568
39	0.02008048148
40	0.0199733935
41	0.01987407633
42	0.01978412322
43	0.01970152338
44	0.01962289574
45	0.01955237076
46	0.01948883743
47	0.01943023146
48	0.01937680773
49	0.01932797612
50	0.0192783875
51	0.01923771903
52	0.01919733692
53	0.01916264542
54	0.01913203957
55	0.01910339379
56	0.01907775529
57	0.01905153301
58	0.01902881082
59	0.01900786349
60	0.0189856385
61	0.01896633469
62	0.0189498739
63	0.01893485395
64	0.01892110728
65	0.01890547053
66	0.01889266254
67	0.01888147348
68	0.01887121982
69	0.01885921358
70	0.01885031941
71	0.01884058919
72	0.01883323792
73	0.01882641274
74	0.01881876661
75	0.0188122235
76	0.01880592647
77	0.01880107252
78	0.01879603375
79	0.01879052927
80	0.01878611517
81	0.0187817661
82	0.01877698013
83	0.01877304596
84	0.0187692456
85	0.01876607405
86	0.01876275752
87	0.01875963673
88	0.01875594752
89	0.0187534217
90	0.01875066333
91	0.01874761432
92	0.01874485981
93	0.01874276446
94	0.01874038587
95	0.01873813317
96	0.0187355126
97	0.01873318913
98	0.01873106423
99	0.01872900617
100	0.01872690779
101	0.01872542326
102	0.01872370454
103	0.0187220698
104	0.01871972399
105	0.01871810808
106	0.01871659728
107	0.01871457729
108	0.0187129046
109	0.01871138777
110	0.01870974717
111	0.01870849798
112	0.01870714185
113	0.01870529648
114	0.01870355044
115	0.0187024385
116	0.01870153728
117	0.0187004115
118	0.01869917408
119	0.01869712205
120	0.01869567322
