iter	Passed	Remaining
399	72394	108591
400	72452	108226
401	72509	107862
402	72549	107473
403	72602	107107
404	72650	106733
405	72699	106363
406	72743	105986
407	72790	105617
408	72840	105253
409	72886	104885
410	72945	104537
411	73001	104185
412	73053	103832
413	73105	103477
414	73150	103115
415	73188	102744
416	73234	102388
417	73276	102026
418	73333	101686
419	73401	101363
420	73464	101036
421	73513	100689
422	73565	100347
423	73616	100007
424	73665	99664
425	73711	99320
426	73762	98984
427	73807	98639
428	73848	98292
429	73898	97959
430	73945	97621
431	73993	97287
432	74040	96954
433	74156	96710
434	74212	96391
435	74267	96070
436	74313	95739
437	74380	95437
438	74433	95118
439	74479	94792
440	74527	94469
441	74580	94154
442	74634	93841
443	74691	93532
444	74736	93210
445	74780	92889
446	74824	92568
447	74872	92253
448	74918	91937
449	74961	91619
450	75010	91309
451	75054	90995
452	75098	90681
453	75142	90370
454	75193	90066
455	75251	89773
456	75297	89467
457	75343	89161
458	75390	88859
459	75440	88560
460	75497	88271
461	75591	88026
462	75655	87746
463	75703	87450
464	75752	87156
465	75797	86858
466	75844	86563
467	75892	86270
468	75939	85978
469	75992	85693
470	76037	85400
471	76091	85119
472	76144	84838
473	76187	84545
474	76239	84264
475	76288	83981
476	76347	83710
477	76402	83434
478	76446	83149
479	76499	82874
480	76549	82596
481	76597	82318
482	76638	82033
483	76685	81755
484	76729	81475
485	76767	81190
486	76814	80914
487	76866	80647
488	76916	80376
489	76956	80097
490	77012	79835
491	77091	79598
492	77155	79346
493	77210	79086
494	77260	78821
495	77311	78558
496	77362	78296
497	77408	78029
498	77459	77770
499	77501	77501
500	77549	77239
501	77596	76978
502	77637	76711
503	77682	76449
504	77730	76191
505	77783	75939
506	77834	75685
507	77886	75432
508	77934	75178
509	77979	74921
510	78015	74656
511	78055	74396
512	78102	74143
513	78151	73894
514	78195	73640
515	78235	73384
516	78278	73130
517	78324	72881
518	78375	72636
519	78429	72396
520	78486	72158
521	78536	71916
522	78574	71663
523	78619	71417
524	78672	71180
525	78723	70941
526	78809	70734
527	78905	70536
528	78950	70294
529	78994	70051
530	79043	69814
531	79097	69582
532	79168	69365
533	79315	6535	7534	79407	6536	7535	79452	6537	7536	79506	6538	7537	79551	6539	7538	79601	68082
539	79649	6541	7540	79697	6542	7541	79771	6543	7542	79863	67214
543	79907	6545	7544	79966	6546	7545	80012	6547	8546	80055	6548	8547	80108	6549	8548	80156	6550	8549	80256	65664
550	80351	65476
551	80434	65279
552	80494	65065
553	80552	64848
554	80595	64621
555	80640	64396
556	80689	64175
557	80746	63960
558	80839	63774
559	80908	6561	8560	80995	6562	8561	81062	6563	8562	81154	62991
563	81231	62796
564	81288	62584
565	81337	62367
566	81386	62152
567	81445	61944
568	81486	61723
569	81524	61501
570	81573	61287
571	81628	61078
572	81682	60869
573	81765	60682
574	81868	6576	8575	82051	60398
576	82270	60312
577	82358	60130
578	82418	59927
579	82460	59712
580	82515	59508
581	82565	59299
582	82613	59090
583	82655	58877
584	82700	58668
585	82743	58457
586	82785	58245
587	82827	58035
588	82876	57830
589	82927	5591	8590	83010	57447
